ticket_id,created_at,resolved_at,status,channel,creator_id,tag,first_response_time,message_text
1,2023-10-05 14:30,2023-10-05 15:07,resolved,email,202,Acesso,10,Estou tendo dificuldades para acessar minha conta. A senha não está sendo aceita.
2,2023-10-05 14:30,2023-10-05 15:40,resolved,email,202,Checkout,15,Estou tendo problemas para finalizar a compra do meu produto. O sistema diz que ocorreu um erro no checkout.
3,2023-10-15 14:30,2023-10-15 15:19,resolved,email,205,Acesso,12,"Estou tendo dificuldades para fazer login na minha conta, não consigo redefinir minha senha."
4,2023-10-01 14:20,2023-10-01 15:52,resolved,email,202,Assinatura,5,"Estou tendo problemas para fazer o upgrade do meu plano de assinatura, não consigo acessar as opções."
5,2023-10-13 15:30,2023-10-13 16:08,resolved,email,202,Checkout,0,"Estou tendo problemas para completar a compra na minha loja, o sistema retorna erro na finalização."
6,2023-10-10 14:30,2023-10-10 14:52,resolved,email,200,Conta,15,Estou tendo dificuldade para atualizar as informações do meu perfil. Alguém pode me ajudar?
7,2023-10-05 14:30,2023-10-05 15:37,resolved,email,205,Dúvidas Gerais,5,Gostaria de saber quais são os recursos disponíveis na plataforma para os novos criadores.
8,2023-10-04 14:30,2023-10-04 15:21,resolved,email,205,Financeiro,12,Estou com dificuldades para entender meu extrato financeiro do mês passado.
9,2023-10-18 14:35,,pending,email,202,Integrações,15,Estou tendo dificuldades para integrar minha conta a um plugin de terceiros. Pode me ajudar?
10,2023-10-10 14:30,2023-10-10 16:06,resolved,email,205,Membros gratuitos,15,Estou tendo dificuldades para entender como funciona a limitação de recursos para membros gratuitos na plataforma.
11,2023-10-10 14:35,2023-10-10 15:10,resolved,email,205,Migração,12,Estou com dificuldades para migrar o conteúdo da minha antiga plataforma para a nova. Poderiam me ajudar?
12,2025-09-01 14:30,2025-09-01 15:49,resolved,email,203,Pagamento,0,Estou tendo problemas para processar um pagamento com meu cartão de crédito. Poderiam ajudar?
13,2024-03-15 14:30,2024-03-15 15:27,resolved,email,205,Prevenção,0,Recebi uma notificação sobre a suspeita de fraude na minha conta e gostaria de entender melhor o que está acontecendo.
14,2023-10-20 15:30,2023-10-20 16:08,resolved,email,204,Produto,12,Estou enfrentando dificuldades para acessar a nova funcionalidade de análise de dados. Poderiam me ajudar?
15,2023-10-02 15:45,2023-10-02 16:05,resolved,email,205,Reembolso,12,"Solicitei um reembolso na última semana, mas ainda não recebi a confirmação. Poderiam ajudar?"
16,2023-10-03 14:27,2023-10-03 14:55,resolved,email,202,Integrações,0,Estou com dificuldades para integrar minha conta com a ferramenta de e-mail marketing.
17,2023-10-15 14:30,,pending,email,202,Membros gratuitos,0,Estou com dificuldades em gerenciar as limitações dos meus membros gratuitos. Como posso ajudar eles a acessar mais funções?
18,2023-10-05 14:30,2023-10-05 14:53,resolved,email,203,Migração,0,Estou tendo dificuldades para migrar meus dados de outra plataforma para cá. Poderiam me ajudar?
19,2023-10-05 14:30,2023-10-05 15:21,resolved,email,205,Pagamento,12,Estou tendo dificuldades para processar um pagamento com meu cartão de crédito. Pode ajudar?
20,2023-10-05 14:30,,pending,email,201,Prevenção,10,"Recebi um alerta sobre conteúdo potencialmente problemático, mas não sei como resolver isso."
21,2023-10-15 14:30,2023-10-15 14:41,resolved,email,205,Produto,5,Estou tendo dificuldades para entender como funciona a nova funcionalidade de análise de dados na plataforma.
22,2023-10-15 14:20,2023-10-15 15:00,resolved,email,305,Produto,0,"Gostaria de sugerir uma nova funcionalidade para o meu canal, como a opção de agendar postagens."
23,2023-10-13 14:30,2023-10-13 15:59,resolved,email,202,Produto,15,Estou tendo dificuldades com a nova funcionalidade de personalização de temas no meu perfil.
24,2023-10-05 14:30,,pending,email,205,Produto,0,Estou com dificuldades para usar a nova funcionalidade de análise de dados. Poderiam me ajudar?
25,2023-10-01 14:30,2023-10-01 14:50,resolved,email,205,Reembolso,5,Solicitei um reembolso há uma semana e ainda não recebi nenhuma atualização.
26,2023-10-10 14:20,,pending,email,102,Membros gratuitos,0,Quero entender melhor quais são as limitações dos usuários gratuitos na minha conta.
27,2023-10-18 14:22,2023-10-18 15:50,resolved,email,302,Reembolso,10,"Solicitei um reembolso na semana passada, mas ainda não recebi nenhuma confirmação."
